Destination_Name,Country,City,Destination_Type,Starting_Point,Distance_km,Travel_Mode,Flight_Transport_Cost_USD,Travel_Duration_Hours,Accommodation_Options,Accommodation_Cost_Per_Night_USD,Recommended_Stay_Days,Top_Attractions,Activity_Cost_USD,Activity_Duration_Hours,Food_Options,Food_Cost_Per_Day_USD,Visa_Required,Visa_Cost_USD,Miscellaneous_Cost_USD,Best_Season,Peak_Season_Cost_Multiplier,Local_Currency,Exchange_Rate_to_USD
Jaflong,Bangladesh,Jaflong,Nature,Dhaka,400,Bus,35,8,"Guesthouse,Tourist Lodge",20,2,"Waterfalls,Stone Garden",10,2,"Street Food,Restaurant",8,FALSE,0,10,February-April,1.3,BDT,0.0091
Madhabkunda,Bangladesh,Madhabkunda,Nature,Dhaka,450,Bus,40,9,"Guesthouse,Tourist Lodge",20,2,"Waterfall,Eco Park",10,2,"Street Food,Restaurant",8,FALSE,0,10,December-March,1.3,BDT,0.0091
Dhaka,Bangladesh,Dhaka,City,Dhaka,0,,0,0,"Budget Hotel,Luxury Hotel",50,3,"National Museum,Lalbagh Fort",20,2,"Street Food,Fine Dining",20,FALSE,0,20,Year-Round,1,BDT,0.0091
Kolkata,India,Kolkata,City,Dhaka,1000,Flight,200,4,"Budget Hotel,Mid-Range Hotel",40,5,"Victoria Memorial,Howrah Bridge",15,2,"Street Food,Restaurant",15,TRUE,30,20,November-February,1.3,INR,0.013
Delhi,India,Delhi,City,Dhaka,1800,Flight,250,5,"Budget Hotel,Luxury Hotel",60,7,"Red Fort,Qutub Minar",20,3,"Street Food,Fine Dining",25,TRUE,40,30,November-March,1.4,INR,0.013
Agra,India,Agra,City/Historical,Dhaka,2000,Flight,300,6,"Budget Hotel,Luxury Hotel",70,5,"Taj Mahal,Fatehpur Sikri",25,3,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.4,INR,0.013
Goa,India,Goa,Beach,Dhaka,2500,Flight,350,7,"Budget Hotel,Resort",50,7,"Baga Beach,Fort Aguada",20,3,"Street Food,Restaurant",15,TRUE,30,25,November-February,1.5,INR,0.013
Jaipur,India,Jaipur,City/Historical,Dhaka,2200,Flight,300,6,"Budget Hotel,Luxury Hotel",60,5,"Hawa Mahal,Amber Fort",25,3,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.4,INR,0.013
Venice,Italy,Venice,City/Historical,Dhaka,7500,Flight,800,11,"Budget Hotel,Luxury Hotel",120,7,"St. Mark’s Square,Gondola Ride",35,3,"Café,Fine Dining",35,TRUE,80,50,April-October,1.4,EUR,1.08
Florence,Italy,Florence,City/Historical,Dhaka,7400,Flight,750,11,"Budget Hotel,Luxury Hotel",110,7,"Uffizi Gallery,Duomo",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.4,EUR,1.08
Mykonos,Greece,Mykonos,Beach,Dhaka,6600,Flight,620,9,"Budget Hotel,Luxury Hotel",90,5,"Windmills,Beaches",25,2,"Street Food,Restaurant",25,TRUE,60,40,April-October,1.5,EUR,1.08
Zurich,Switzerland,Zurich,City,Dhaka,8000,Flight,850,12,"Budget Hotel,Luxury Hotel",130,7,"Lake Zurich,Swiss National Museum",40,4,"Café,Fine Dining",40,TRUE,90,60,May-September,1.5,CHF,0.92
Geneva,Switzerland,Geneva,City,Dhaka,8100,Flight,860,12,"Budget Hotel,Luxury Hotel",130,7,"Lake Geneva,Jet d’Eau",40,4,"Café,Fine Dining",40,TRUE,90,60,May-September,1.5,CHF,0.92
Stockholm,Sweden,Stockholm,City,Dhaka,9000,Flight,900,14,"Budget Hotel,Luxury Hotel",110,7,"Vasa Museum,Gamla Stan",35,3,"Café,Fine Dining",35,TRUE,80,50,June-August,1.4,SEK,0.1
Oslo,Norway,Oslo,City,Dhaka,9500,Flight,950,15,"Budget Hotel,Luxury Hotel",120,7,"Vigeland Sculpture Park,Oslo Fjord",40,4,"Café,Fine Dining",40,TRUE,100,60,June-August,1.5,NOK,0.1
Copenhagen,Denmark,Copenhagen,City,Dhaka,8500,Flight,880,13,"Budget Hotel,Luxury Hotel",100,7,"Tivoli Gardens,Nyhavn",35,3,"Café,Fine Dining",35,TRUE,80,50,May-September,1.4,DKK,0.14
Helsinki,Finland,Helsinki,City,Dhaka,8700,Flight,890,14,"Budget Hotel,Luxury Hotel",110,7,"Suomenlinna Fortress,Sibelius Monument",35,3,"Café,Fine Dining",35,TRUE,80,50,June-August,1.5,EUR,1.08
Edinburgh,UK,Edinburgh,City/Historical,Dhaka,8500,Flight,850,12,"Budget Hotel,Luxury Hotel",120,7,"Edinburgh Castle,Royal Mile",35,3,"Café,Fine Dining",35,TRUE,90,50,April-September,1.4,GBP,1.25
Dublin,Ireland,Dublin,City,Dhaka,8000,Flight,800,11,"Budget Hotel,Luxury Hotel",100,7,"Trinity College,Guinness Storehouse",30,3,"Café,Fine Dining",30,TRUE,80,40,April-September,1.4,EUR,1.08
Budapest,Hungary,Budapest,City/Historical,Dhaka,7000,Flight,700,10,"Budget Hotel,Luxury Hotel",90,7,"Buda Castle,Szechenyi Thermal Bath",25,2,"Street Food,Restaurant",25,TRUE,70,40,April-October,1.4,HUF,0.0038
Krakow,Poland,Krakow,City/Historical,Dhaka,6500,Flight,650,9,"Budget Hotel,Luxury Hotel",80,5,"Wawel Castle,Old Town",20,2,"Street Food,Restaurant",20,TRUE,60,30,April-October,1.3,PLN,0.25
Warsaw,Poland,Warsaw,City,Dhaka,6800,Flight,680,10,"Budget Hotel,Luxury Hotel",85,5,"Old Town,Copernicus Science Centre",25,2,"Street Food,Restaurant",25,TRUE,60,35,April-October,1.3,PLN,0.25
Toronto,Canada,Toronto,City,Dhaka,11000,Flight,1100,16,"Budget Hotel,Luxury Hotel",140,10,"CN Tower,Niagara Falls",50,4,"Street Food,Fine Dining",50,TRUE,130,80,June-September,1.5,CAD,0.78
Vancouver,Canada,Vancouver,City,Dhaka,13000,Flight,1200,18,"Budget Hotel,Luxury Hotel",150,10,"Stanley Park,Capilano Suspension Bridge",60,5,"Street Food,Fine Dining",60,TRUE,130,90,June-September,1.6,CAD,0.78
Montreal,Canada,Montreal,City,Dhaka,11500,Flight,1150,17,"Budget Hotel,Luxury Hotel",130,7,"Old Montreal,Mount Royal",50,4,"Street Food,Fine Dining",50,TRUE,130,80,June-September,1.5,CAD,0.78
Los Angeles,USA,Los Angeles,City,Dhaka,14000,Flight,1300,20,"Budget Hotel,Luxury Hotel",160,10,"Hollywood,Griffith Observatory",60,5,"Street Food,Fine Dining",60,TRUE,150,100,April-October,1.6,USD,1
San Francisco,USA,San Francisco,City,Dhaka,13500,Flight,1250,19,"Budget Hotel,Luxury Hotel",150,10,"Golden Gate Bridge,Alcatraz",55,4,"Street Food,Fine Dining",55,TRUE,150,90,April-October,1.6,USD,1
Hawaii,USA,Honolulu,Beach,Dhaka,15000,Flight,1400,22,"Budget Hotel,Luxury Hotel",200,10,"Waikiki Beach,Volcanoes National Park",70,6,"Street Food,Fine Dining",70,TRUE,150,120,April-October,1.7,USD,1
Mexico City,Mexico,Mexico City,City,Dhaka,12000,Flight,1000,18,"Budget Hotel,Luxury Hotel",100,7,"Zocalo,Teotihuacan Pyramids",40,4,"Street Food,Restaurant",40,TRUE,100,60,April-October,1.5,MXN,0.052
Cancun,Mexico,Cancun,Beach,Dhaka,12500,Flight,1050,19,"Budget Hotel,Luxury Hotel",110,7,"Mayan Ruins,Beaches",45,4,"Street Food,Restaurant",45,TRUE,100,70,April-October,1.6,MXN,0.052
Buenos Aires,Argentina,Buenos Aires,City,Dhaka,14000,Flight,1100,20,"Budget Hotel,Luxury Hotel",120,10,"Obelisk,Tango Shows",50,5,"Street Food,Restaurant",50,TRUE,120,80,April-October,1.5,ARS,0.01
Santiago,Chile,Santiago,City,Dhaka,13000,Flight,1150,19,"Budget Hotel,Luxury Hotel",130,7,"Plaza de Armas,Torres del Paine",50,5,"Street Food,Restaurant",50,TRUE,110,80,April-October,1.5,CLP,0.00014
Perth,Australia,Perth,City,Dhaka,9500,Flight,900,15,"Budget Hotel,Luxury Hotel",110,7,"Kings Park,Rottnest Island",40,4,"Café,Fine Dining",40,TRUE,100,60,September-November,1.5,AUD,0.72
Melbourne,Australia,Melbourne,City,Dhaka,9200,Flight,880,14,"Budget Hotel,Luxury Hotel",120,7,"Great Ocean Road,MCG",45,4,"Café,Fine Dining",45,TRUE,100,70,September-November,1.5,AUD,0.72
Brisbane,Australia,Brisbane,City,Dhaka,9100,Flight,870,14,"Budget Hotel,Luxury Hotel",110,7,"South Bank,Lone Pine Koala Sanctuary",40,4,"Café,Fine Dining",40,TRUE,100,60,September-November,1.5,AUD,0.72
Auckland,New Zealand,Auckland,City,Dhaka,11000,Flight,1100,16,"Budget Hotel,Luxury Hotel",130,7,"Sky Tower,Hobbiton",50,4,"Café,Fine Dining",50,TRUE,120,80,December-February,1.6,NZD,0.7
Wellington,New Zealand,Wellington,City,Dhaka,11500,Flight,1150,17,"Budget Hotel,Luxury Hotel",120,7,"Te Papa Museum,Beehive",45,4,"Café,Fine Dining",45,TRUE,120,70,December-February,1.6,NZD,0.7
Chiang Mai,Thailand,Chiang Mai,City,Dhaka,3000,Flight,350,7,"Budget Hotel,Mid-Range Hotel",60,5,"Doi Suthep,Night Bazaar",20,2,"Street Food,Restaurant",20,TRUE,50,30,November-February,1.3,THB,0.03
Lhasa,China,Lhasa,City/Historical,Dhaka,4500,Flight,500,10,"Guesthouse,Tourist Lodge",80,7,"Potala Palace,Jokhang Temple",30,3,"Street Food,Restaurant",25,TRUE,60,40,March-May,1.5,CNY,0.15
Ulaanbaatar,Mongolia,Ulaanbaatar,Nature,Dhaka,5000,Flight,550,11,"Guesthouse,Tourist Lodge",70,7,"Gobi Desert,Genghis Khan Statue",25,3,"Street Food,Restaurant",20,TRUE,70,40,June-August,1.4,MNT,0.00041
Barisal,Bangladesh,Barisal,City,Dhaka,200,Bus,30,5,"Guesthouse,Tourist Lodge",30,3,"Floating Market,Launch Rides",15,2,"Street Food,Restaurant",12,FALSE,0,15,November-February,1.3,BDT,0.0091
Khulna,Bangladesh,Khulna,City,Dhaka,250,Bus,35,6,"Guesthouse,Tourist Lodge",30,3,"Shrimp Farms,Jessore Road",10,2,"Street Food,Restaurant",12,FALSE,0,15,November-February,1.3,BDT,0.0091
Rajshahi,Bangladesh,Rajshahi,City,Dhaka,350,Bus,40,7,"Guesthouse,Mid-Range Hotel",30,3,"Puthia Temple,Varendra Museum",15,2,"Street Food,Restaurant",12,FALSE,0,15,November-February,1.3,BDT,0.0091
Bagerhat,Bangladesh,Bagerhat,Historical,Dhaka,300,Bus,35,6,"Guesthouse,Tourist Lodge",25,2,"Sixty Dome Mosque,Shait Gumbad",10,2,"Street Food,Restaurant",10,FALSE,0,10,December-March,1.3,BDT,0.0091
Paharpur,Bangladesh,Paharpur,Historical,Dhaka,400,Bus,40,8,"Guesthouse,Mid-Range Hotel",20,2,"Buddhist Stupa,Somapura Mahavihara",10,2,"Street Food,Restaurant",10,FALSE,0,10,December-March,1.3,BDT,0.0091
Mahasthangarh,Bangladesh,Bogra,Historical,Dhaka,350,Bus,35,7,"Budget Hotel,Resort",20,2,"Archaeological Site,Fortress",10,2,"Street Food,Restaurant",10,FALSE,0,10,December-March,1.3,BDT,0.0091
Mainamati,Bangladesh,Comilla,Historical,Dhaka,250,Bus,30,6,"Budget Hotel,Mid-Range Hotel",20,2,"Buddhist Ruins,War Cemetery",10,2,"Street Food,Restaurant",10,FALSE,0,10,December-March,1.3,BDT,0.0091
Lalmonirhat,Bangladesh,Lalmonirhat,Nature,Dhaka,500,Bus,40,9,"Budget Hotel,Mid-Range Hotel",25,3,"Dudhnoi River,Border Market",10,2,"Street Food,Restaurant",10,FALSE,0,10,November-February,1.3,BDT,0.0091
Dinajpur,Bangladesh,Dinajpur,Historical,Dhaka,450,Bus,40,8,"Budget Hotel,Resort",20,2,"Kantaji Temple,Ramsagar",10,2,"Street Food,Restaurant",10,FALSE,0,10,December-March,1.3,BDT,0.0091
Bhawal National Park,Bangladesh,Gazipur,Nature,Dhaka,50,Bus,20,2,"Budget Hotel,Luxury Hotel",25,3,"Wildlife Safari,Picnic Spots",15,3,"Street Food,Restaurant",10,FALSE,0,15,Year-Round,1.2,BDT,0.0091
Lakshadweep,India,Agatti,Beach,Dhaka,3000,Flight,400,7,"Budget Hotel,Luxury Hotel",60,7,"Coral Islands,Water Sports",30,3,"Street Food,Restaurant",20,TRUE,30,30,November-February,1.5,INR,0.013
Darjeeling,India,Darjeeling,Nature,Dhaka,1200,Flight,250,5,"Budget Hotel,Luxury Hotel",40,4,"Tea Estates,Himalayan Views",20,3,"Street Food,Restaurant",15,TRUE,30,20,March-May,1.4,INR,0.013
Shimla,India,Shimla,Nature,Dhaka,2000,Flight,300,6,"Budget Hotel,Mid-Range Hotel",40,4,"Mall Road,Himachal Views",20,3,"Street Food,Restaurant",15,TRUE,30,20,March-May,1.4,INR,0.013
Kerala,India,Kochi,Beach,Dhaka,2500,Flight,350,7,"Budget Hotel,Resort",50,7,"Backwaters,Houseboats",30,3,"Street Food,Restaurant",20,TRUE,30,30,November-February,1.5,INR,0.013
Varanasi,India,Varanasi,City/Historical,Dhaka,2100,Flight,300,6,"Budget Hotel,Mid-Range Hotel",70,5,"Ghats,Kashi Vishwanath Temple",25,3,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.4,INR,0.013
Amritsar,India,Amritsar,City/Historical,Dhaka,2200,Flight,300,6,"Budget Hotel,Resort",60,5,"Golden Temple,Harmandir Sahib",25,3,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.4,INR,0.013
Udaipur,India,Udaipur,City/Historical,Dhaka,2300,Flight,350,7,"Luxury Hotel,Resort",70,5,"City Palace,Lake Pichola",30,3,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.4,INR,0.013
Rishikesh,India,Rishikesh,Nature,Dhaka,2000,Flight,300,6,"Budget Hotel,Resort",40,4,"Ganga Aarti,Yoga Retreats",20,3,"Street Food,Restaurant",15,TRUE,30,20,March-May,1.4,INR,0.013
Andaman Islands,India,Port Blair,Beach,Dhaka,3500,Flight,400,8,"Budget Hotel,Luxury Hotel",60,7,"Havelock Island,Scuba Diving",30,3,"Street Food,Restaurant",20,TRUE,30,30,November-February,1.5,INR,0.013
Leh,India,Leh,Nature,Dhaka,3000,Flight,400,7,"Budget Hotel,Luxury Hotel",50,5,"Hemis Monastery,Pangong Lake",30,4,"Street Food,Restaurant",20,TRUE,40,30,June-September,1.5,INR,0.013
